"","tissue","sample","technology","gene","cell_type","Z_score","log_fc","se","p_val","bias","xchr"
"70","Hippocampus","Mouse 1","Slide-seq","Serinc1","CA1",11.0081756080384,0.985345937635401,0.0895103759896309,3.48999189372834e-28,"maternal",FALSE
"71","Hippocampus","Mouse 1","Slide-seq","Calm3","CA1",10.7062995434817,-1.00220314748834,0.0936087341305999,9.50870160815819e-27,"paternal",FALSE
"72","Hippocampus","Mouse 1","Slide-seq","Hspa8","CA1",9.73517398137992,2.04888259895002,0.210461836929554,2.13452116318861e-22,"maternal",FALSE
"73","Hippocampus","Mouse 1","Slide-seq","Calm2","CA1",9.42580322394248,1.02407568223256,0.108645985695024,4.26826060506798e-21,"maternal",FALSE
"74","Hippocampus","Mouse 1","Slide-seq","Pdhb","CA1",7.81640862392263,-1.68586093766154,0.215682293336335,5.43517397539816e-15,"paternal",FALSE
"75","Hippocampus","Mouse 1","Slide-seq","Nell2","CA1",7.34445625468796,1.12270231277809,0.152863911751326,2.06597247913986e-13,"maternal",FALSE
"76","Hippocampus","Mouse 1","Slide-seq","Sphkap","CA1",6.22180576202412,-1.14881094214157,0.184642688325878,4.91465247443309e-10,"paternal",FALSE
"77","Hippocampus","Mouse 1","Slide-seq","Morf4l2","CA1",6.13053491833244,-2.15939371483633,0.352235774463822,8.75840909384953e-10,"paternal",TRUE
"78","Hippocampus","Mouse 1","Slide-seq","Kcnq1ot1","CA1",6.02744617555186,-2.56368823967462,0.425335733411157,1.66570696600327e-09,"paternal",FALSE
"79","Hippocampus","Mouse 1","Slide-seq","Sptan1","CA1",5.73471799976457,-0.886419508244875,0.154570723143015,9.76747211079204e-09,"paternal",FALSE
"80","Hippocampus","Mouse 1","Slide-seq","Shank1","CA1",5.66724710394179,1.87607309449331,0.331037814318778,1.45110000902756e-08,"maternal",FALSE
"81","Hippocampus","Mouse 1","Slide-seq","Sort1","CA1",5.63623453970442,-1.29381194550017,0.229552538381063,1.73808624776494e-08,"paternal",FALSE
"82","Hippocampus","Mouse 1","Slide-seq","Snhg11","CA1",5.61398168387617,0.373450978812039,0.0665215883914658,1.9772315300838e-08,"maternal",FALSE
"83","Hippocampus","Mouse 1","Slide-seq","Tceal3","CA1",5.60536875614665,-1.29873252198187,0.231694394870583,2.07812042159016e-08,"paternal",TRUE
"84","Hippocampus","Mouse 1","Slide-seq","Cck","CA1",5.49067736447418,-0.470869102239451,0.0857579258410031,4.00395178356733e-08,"paternal",FALSE
"85","Hippocampus","Mouse 1","Slide-seq","Scoc","CA1",5.41947019773137,1.18376586899124,0.218428338158732,5.97759132257493e-08,"maternal",FALSE
"86","Hippocampus","Mouse 1","Slide-seq","Rasgrf1","CA1",5.28774287175005,-1.48432613061941,0.280710724144601,1.23834882285193e-07,"paternal",FALSE
"87","Hippocampus","Mouse 1","Slide-seq","Adcy1","CA1",5.28756131590135,-1.76605688945107,0.334002157883254,1.23957816604379e-07,"paternal",FALSE
"88","Hippocampus","Mouse 1","Slide-seq","Camk2b","CA1",5.15698046845941,-0.709071651238044,0.137497447503398,2.50963969462592e-07,"paternal",FALSE
"89","Hippocampus","Mouse 1","Slide-seq","Wfs1","CA1",5.14900915433464,0.453842946351837,0.0881418021892181,2.6186610246779e-07,"maternal",FALSE
"90","Hippocampus","Mouse 1","Slide-seq","Dnajb6","CA1",4.92042307180955,-2.91850032084189,0.59314011788189,8.63573382152566e-07,"paternal",FALSE
"91","Hippocampus","Mouse 1","Slide-seq","Psma7","CA1",4.53234859264019,-1.15832905343065,0.255569277109796,5.83314841462411e-06,"paternal",FALSE
"92","Hippocampus","Mouse 1","Slide-seq","Ube2k","CA1",4.43068918351759,-2.32630023401798,0.52504252446142,9.39323980748153e-06,"paternal",FALSE
"93","Hippocampus","Mouse 1","Slide-seq","Fam193a","CA1",4.42526212330342,-1.54243869576972,0.348553069353168,9.6325248377243e-06,"paternal",FALSE
"94","Hippocampus","Mouse 1","Slide-seq","Tceal6","CA1",4.40646760481601,-1.15128962676671,0.261272685973775,1.05070013859082e-05,"paternal",TRUE
"95","Hippocampus","Mouse 1","Slide-seq","Calm1","CA1",4.30917821672357,-0.305700032172926,0.0709416080742563,1.63862286006478e-05,"paternal",FALSE
"96","Hippocampus","Mouse 1","Slide-seq","Camk2a","CA1",4.25981269015267,-0.541878269225664,0.127207064873607,2.04598288629206e-05,"paternal",FALSE
"97","Hippocampus","Mouse 1","Slide-seq","Crym","CA1",4.18068378524184,-0.597002376799496,0.142800175154831,2.90633798110304e-05,"paternal",FALSE
"98","Hippocampus","Mouse 1","Slide-seq","Scg5","CA1",4.17381180508979,0.888738369365658,0.212932065667618,2.99545222665028e-05,"maternal",FALSE
"99","Hippocampus","Mouse 1","Slide-seq","Rrp7a","CA1",4.14062557118268,-1.97779899667208,0.477657050286525,3.4635993795828e-05,"paternal",FALSE
"100","Hippocampus","Mouse 1","Slide-seq","Rab3c","CA1",4.10904963583844,-0.629753249807657,0.153260073646971,3.97290686909917e-05,"paternal",FALSE
"101","Hippocampus","Mouse 1","Slide-seq","Pkm","CA1",4.08161636087014,0.426020015133776,0.104375320330927,4.47235768058632e-05,"maternal",FALSE
"102","Hippocampus","Mouse 1","Slide-seq","Ppp3cb","CA1",4.05740868682425,-0.722187949271863,0.177992409691695,4.96202079197064e-05,"paternal",FALSE
