"","ID","Name","Species","Class","Family","Logo"
"","PH0011.1","Alx1_2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0012.1","Cdx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0013.1","Cdx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0014.1","Cphx","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0015.1","Crx","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0016.1","Cux1_1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0017.1","Cux1_2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0018.1","Dbx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0019.1","Dbx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0020.1","Dlx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0021.1","Dlx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0022.1","Dlx3","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0023.1","Dlx4","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0024.1","Dlx5","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0025.1","Dmbx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0026.1","Duxbl","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0027.1","Emx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0028.1","En1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0029.1","En2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0030.1","Esx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0031.1","Evx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0032.1","Evx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0033.1","Gbx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0034.1","Gbx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0035.1","Gsc","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0036.1","Gsx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0037.1","Hdx","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0038.1","Hlx","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0040.1","Hmbox1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0041.1","Hmx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0042.1","Hmx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0043.1","Hmx3","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0044.1","Homez","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0045.1","Hoxa1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0046.1","Hoxa10","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0047.1","Hoxa11","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0048.1","Hoxa13","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0049.1","Hoxa2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0050.1","Hoxa3","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0051.1","Hoxa4","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0052.1","Hoxa5","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0053.1","Hoxa6","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0054.1","Hoxa7_1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0055.1","Hoxa7_2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0056.1","Hoxa9","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0057.1","Hoxb13","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0058.1","Hoxb3","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0059.1","Hoxb4","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0060.1","Hoxb5","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0061.1","Hoxb6","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0062.1","Hoxb7","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0063.1","Hoxb8","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0064.1","Hoxb9","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0065.1","Hoxc10","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0066.1","Hoxc11","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0067.1","Hoxc12","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0068.1","Hoxc13","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0069.1","Hoxc4","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0070.1","Hoxc5","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0071.1","Hoxc6","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0072.1","Hoxc8","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0073.1","Hoxc9","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0074.1","Hoxd1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0075.1","Hoxd10","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0076.1","Hoxd11","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0077.1","Hoxd12","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0078.1","Hoxd13","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0079.1","Hoxd3","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0080.1","Hoxd8","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0082.1","Irx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0083.1","Irx3_1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0084.1","Irx3_2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0085.1","Irx4","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0086.1","Irx5","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0087.1","Irx6","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0088.1","Isl2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0089.1","Isx","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0168.1","Hnf1b","Mus musculus","Helix-Turn-Helix","Homeo",""
"","UN0251.1","Ddit3","Mus musculus","Basic leucine zipper factors (bZIP)","C/EBP-related factors",""
"","UN0252.1","Dmrtb1","Mus musculus","DM-type intertwined zinc finger factors","DMRT factors",""
