gene_id	gene_name
135	1700047M11Rik
136	1700048O20Rik
137	1700049E17Rik2
138	1700052K11Rik
139	1700054O19Rik
140	1700055D18Rik
141	1700056E22Rik
142	1700056N10Rik
143	1700057H15Rik
144	1700060C20Rik
145	1700063D05Rik
146	1700064H15Rik
147	1700064M15Rik
148	1700065J18Rik
149	1700066B19Rik
150	1700066M21Rik
151	1700067K01Rik
152	1700069B07Rik
153	1700082M22Rik
154	1700084C06Rik
155	1700084E18Rik
156	1700086L19Rik
157	1700086O06Rik
158	1700086P04Rik
159	1700088E04Rik
160	1700092M07Rik
161	1700093K21Rik
162	1700094D03Rik
163	1700095J03Rik
164	1700096K18Rik
165	1700097M23Rik
166	1700097N02Rik
167	1700100L14Rik
168	1700101I11Rik
169	1700102P08Rik
170	1700105P06Rik
171	1700108F19Rik
172	1700108J01Rik
173	1700109G14Rik
174	1700109H08Rik
175	1700110I01Rik
176	1700112D23Rik
177	1700112J16Rik
178	1700113A16Rik
179	1700120C14Rik
180	1700120C18Rik
181	1700121L03Rik
182	1700123K08Rik
183	1700123M08Rik
184	1700123O20Rik
185	1700124L16Rik
186	1700125G22Rik
187	1700125H03Rik
188	1810007D17Rik
189	1810009A15Rik
190	1810010H24Rik
191	1810010K12Rik
192	1810012K16Rik
193	1810013D15Rik
194	1810013L24Rik
195	1810014B01Rik
196	1810017P11Rik
197	1810019D21Rik
198	1810019N24Rik
199	1810020O05Rik
200	1810021B22Rik
201	1810024B03Rik
202	1810026B05Rik
203	1810030O07Rik
204	1810034E14Rik
205	1810037I17Rik
206	1810041H14Rik
207	1810044D09Rik
208	1810055G02Rik
209	1810058I24Rik
210	1810059H22Rik
211	1810062G17Rik
212	1810062O18Rik
213	2010001A14Rik
214	2010001K21Rik
215	2010007H06Rik
216	2010008C14Rik
217	2010106E10Rik
218	2010110K18Rik
219	2010204K13Rik
220	2010300C02Rik
221	2010308F09Rik
222	2010309G21Rik
223	2010315B03Rik
224	2010320M18Rik
225	2010320O07Rik
226	2200002D01Rik
227	2210016F16Rik
228	2210016L21Rik
229	2210406O10Rik
230	2210408F21Rik
231	2210408I21Rik
232	2210412B16Rik
233	2210418O10Rik
234	2300009A05Rik
235	2310001H17Rik
236	2310002F09Rik
237	2310009A05Rik
238	2310009B15Rik
239	2310010J17Rik
240	2310011J03Rik
241	2310015A10Rik
242	2310016G11Rik
243	2310022A10Rik
244	2310022B05Rik
245	2310026I22Rik
246	2310030G06Rik
247	2310033P09Rik
248	2310034G01Rik
249	2310039H08Rik
250	2310039L15Rik
251	2310040G07Rik
252	2310040G24Rik
253	2310043L19Rik
254	2310043M15Rik
255	2310047D07Rik
256	2310057M21Rik
257	2310058D17Rik
258	2310061I04Rik
259	2310068J16Rik
260	2310074N15Rik
261	2400006E01Rik
262	2410002F23Rik
263	2410004B18Rik
264	2410004I01Rik
265	2410004P03Rik
266	2410006H16Rik
267	2410018L13Rik
268	2410022M11Rik
269	2410080I02Rik
270	2410124H12Rik
271	2410131K14Rik
272	2500002B13Rik
273	2500004C02Rik
274	2510002D24Rik
275	2510009E07Rik
276	2510016D11Rik
277	2510017J16Rik
278	2510039O18Rik
279	2510046G10Rik
280	2600006K01Rik
281	2600014E21Rik
282	2610001A08Rik
283	2610001J05Rik
284	2610002M06Rik
285	2610005L07Rik
286	2610008E11Rik
287	2610011E03Rik
288	2610012C04Rik
289	2610017A05Rik
