gene_id	gene_name
668	2900092O11Rik
669	2900093K20Rik
670	2900097C17Rik
671	3000002C10Rik
672	3010001F23Rik
673	3010003L21Rik
674	3100003L05Rik
675	3110001I22Rik
676	3110009E18Rik
677	3110009M11Rik
678	3110018I06Rik
679	3110021N24Rik
680	3110031N09Rik
681	3110039M20Rik
682	3110040N11Rik
683	3110045C21Rik
684	3110053B16Rik
685	3110056K07Rik
686	3110062G12Rik
687	3110067C02Rik
688	3110070M22Rik
689	3110080O07Rik
690	3110082I17Rik
691	3110082J24Rik
692	3110083C13Rik
693	3110099E03Rik
694	3222401L13Rik
695	3300002A11Rik
696	3300002I08Rik
697	3300002P13Rik
698	3300005D01Rik
699	3425401B19Rik
700	3632454L22Rik
701	3830403N18Rik
702	3830406C13Rik
703	3830408C21Rik
704	3830417A13Rik
705	3830422I06Rik
706	3830432H09Rik
707	3930402G23Rik
708	4430402I18Rik
709	4631405J19Rik
710	4632404H12Rik
711	4632404M16Rik
712	4632411P08Rik
713	4632415L05Rik
714	4632427E13Rik
715	4632428C04Rik
716	4632432E15Rik
717	4632433K11Rik
718	4633401B06Rik
719	4731419I09Rik
720	4732414G09Rik
721	4732416N19Rik
722	4732419C18Rik
723	4732440D04Rik
724	4732463B04Rik
725	4732465J04Rik
726	4732471J01Rik
727	4732487G21Rik
728	4732490B19Rik
729	4732491K20Rik
730	4732496C06Rik
731	4833403J16Rik
732	4833404L02Rik
733	4833407H14Rik
734	4833411C07Rik
735	4833412C05Rik
736	4833412K13Rik
737	4833413E03Rik
738	4833413G10Rik
739	4833417C18Rik
740	4833418N02Rik
741	4833418N17Rik
742	4833420G17Rik
743	4833421G17Rik
744	4833421K07Rik
745	4833422C13Rik
746	4833422M21Rik
747	4833427F10Rik
748	4833427G06Rik
749	4833428L15Rik
750	4833439L19Rik
751	4833445I07Rik
752	4921504A21Rik
753	4921504E06Rik
754	4921507G05Rik
755	4921507P07Rik
756	4921508D12Rik
757	4921508M14Rik
758	4921509C19Rik
759	4921511C20Rik
760	4921511E07Rik
761	4921513H07Rik
762	4921513I03Rik
763	4921513I08Rik
764	4921514A10Rik
765	4921517D22Rik
766	4921518K17Rik
767	4921521D15Rik
768	4921522P10Rik
769	4921523L03Rik
770	4921524J17Rik
771	4921527H02Rik
772	4921528I07Rik
773	4921531C22Rik
774	4921534H16Rik
775	4921536K21Rik
776	4921539E11Rik
777	4921539H07Rik
778	4922502N22Rik
779	4930401G09Rik
780	4930402F06Rik
781	4930402F11Rik
782	4930402H05Rik
783	4930402H24Rik
784	4930402K13Rik
785	4930403D09Rik
786	4930403P22Rik
787	4930404H24Rik
788	4930404I05Rik
789	4930404I20Rik
790	4930404N11Rik
791	4930405A21Rik
792	4930405D11Rik
793	4930405G09Rik
794	4930405H06Rik
795	4930405N21Rik
796	4930405O22Rik
797	4930406D18Rik
798	4930407I10Rik
799	4930408K08Rik
800	4930412B13Rik
801	4930412C18Rik
802	4930412E21Rik
803	4930412F09Rik
804	4930412L05Rik
805	4930412M03Rik
806	4930413E15Rik
807	4930413G21Rik
808	4930415L06Rik
809	4930415O20Rik
810	4930417H01Rik
811	4930417O13Rik
812	4930417O22Rik
813	4930419G24Rik
814	4930421C12Rik
815	4930422M22Rik
816	4930423C22Rik
817	4930423M02Rik
818	4930425K10Rik
819	4930425L21Rik
820	4930425O10Rik
821	4930426D05Rik
822	4930426I24Rik
823	4930426L09Rik
824	4930428N03Rik
825	4930428O21Rik
826	4930429D17Rik
827	4930429F24Rik
828	4930429H19Rik
829	4930429P21Rik
830	4930430E12Rik
831	4930430F08Rik
832	4930430O22Rik
833	4930431L21Rik
834	4930431P03Rik
835	4930431P19Rik
836	4930432B10Rik
837	4930432E11Rik
838	4930432H08Rik
839	4930432K21Rik
840	4930432L08Rik
841	4930432M17Rik
842	4930433B08Rik
843	4930433I11Rik
844	4930433J02Rik
845	4930433N12Rik
846	4930434B07Rik
847	4930434O05Rik
848	4930435N07Rik
849	4930437M23Rik
850	4930438A08Rik
851	4930438E09Rik
852	4930439D14Rik
853	4930440C22Rik
854	4930440I19Rik
855	4930441H08Rik
856	4930443G03Rik
857	4930444A19Rik
858	4930444E06Rik
859	4930444G20Rik
860	4930444P10Rik
861	4930445B16Rik
862	4930445N08Rik
863	4930445N18Rik
864	4930447C04Rik
865	4930447F24Rik
866	4930447M23Rik
867	4930447N08Rik
868	4930448A20Rik
869	4930448D08Rik
870	4930448E22Rik
871	4930448I06Rik
872	4930448I18Rik
873	4930448K20Rik
874	4930449A18Rik
875	4930449E01Rik
876	4930449I04Rik
877	4930451G09Rik
878	4930452B06Rik
879	4930452N14Rik
880	4930453H23Rik
881	4930453N24Rik
882	4930453O03Rik
883	4930455B14Rik
884	4930455G09Rik
885	4930455H04Rik
886	4930456G14Rik
887	4930456L15Rik
888	4930458A03Rik
889	4930458D05Rik
890	4930461C15Rik
891	4930461G14Rik
892	4930463O16Rik
893	4930465K10Rik
894	4930465M20Rik
895	4930466I24Rik
896	4930467D21Rik
897	4930469K13Rik
898	4930470B04Rik
899	4930470G03Rik
900	4930470P17Rik
901	4930471C04Rik
902	4930471D02Rik
903	4930471M09Rik
904	4930473A02Rik
905	4930473D10Rik
906	4930474B08Rik
907	4930474N05Rik
908	4930477E14Rik
909	4930477O15Rik
910	4930478K11Rik
911	4930478M09Rik
912	4930478P22Rik
913	4930479D17Rik
914	4930480C01Rik
915	4930480E11Rik
916	4930480G23Rik
917	4930480K02Rik
918	4930480K15Rik
919	4930481A15Rik
920	4930481B07Rik
921	4930483J18Rik
922	4930483K19Rik
923	4930486L24Rik
924	4930486N12Rik
925	4930488B22Rik
926	4930488L21Rik
927	4930500F04Rik
928	4930500F10Rik
929	4930500L23Rik
930	4930500M09Rik
931	4930502C17Rik
932	4930502E09Rik
933	4930502E18Rik
934	4930503L19Rik
935	4930503O07Rik
936	4930505A04Rik
937	4930505G20Rik
938	4930505M18Rik
939	4930505N22Rik
940	4930505O20Rik
