gene_id	gene_name
218	1700029H14Rik
219	1700029I15Rik
220	1700029J03Rik
221	1700029J07Rik
222	1700029M20Rik
223	1700029N11Rik
224	1700029P11Rik
225	1700030A11Rik
226	1700030C10Rik
227	1700030C12Rik
228	1700030C14Rik
229	1700030I03Rik
230	1700030J22Rik
231	1700030K09Rik
232	1700030M09Rik
233	1700030N03Rik
234	1700030N18Rik
235	1700031A10Rik
236	1700031F05Rik
237	1700031M16Rik
238	1700031P21Rik
239	1700034E13Rik
240	1700034G24Rik
241	1700034H15Rik
242	1700034I23Rik
243	1700034J04Rik
244	1700034J05Rik
245	1700034P13Rik
246	1700036A12Rik
247	1700037C06Rik
248	1700037C18Rik
249	1700037H04Rik
250	1700039E22Rik
251	1700039I01Rik
252	1700039M10Rik
253	1700039M15Rik
254	1700040D17Rik
255	1700040F17Rik
256	1700040L08Rik
257	1700041C23Rik
258	1700041G16Rik
259	1700041M19Rik
260	1700042O10Rik
261	1700044C05Rik
262	1700047A11Rik
263	1700047F07Rik
264	1700047G03Rik
265	1700047K16Rik
266	1700047M11Rik
267	1700047N06Rik
268	1700048F04Rik
269	1700048O20Rik
270	1700049E15Rik
271	1700051A21Rik
272	1700052K11Rik
273	1700054A03Rik
274	1700054M17Rik
275	1700054O19Rik
276	1700055D18Rik
277	1700056E22Rik
278	1700056N10Rik
279	1700057G04Rik
280	1700057H15Rik
281	1700057H21Rik
282	1700058P15Rik
283	1700060C16Rik
284	1700060C20Rik
285	1700060J05Rik
286	1700061E18Rik
287	1700061H18Rik
288	1700061I17Rik
289	1700061J23Rik
290	1700063D05Rik
